timestamp,hr,fixed
11:37:38.885889,79.0,0
11:37:39.893885,79.0,0
11:37:41.092971,79.0,0
11:37:41.936836,79.0,0
11:37:43.102092,79.0,0
11:37:43.945841,78.0,0
11:37:45.111063,78.0,0
11:37:45.913055,78.0,0
11:37:46.913284,77.0,0
11:37:48.086795,77.0,0
11:37:49.084776,76.0,0
11:37:50.093667,75.0,0
11:37:51.094648,75.0,0
11:37:52.101425,75.0,0
11:37:53.103656,76.0,0
11:37:54.110945,77.0,0
11:37:55.111694,77.0,0
11:37:56.118205,77.0,0
11:37:57.118532,78.0,0
11:37:58.290814,78.0,0
11:37:59.292498,78.0,0
11:38:00.299116,78.0,0
11:38:01.300055,78.0,0
11:38:02.310367,78.0,0
11:38:03.307456,79.0,0
11:38:04.315442,79.0,0
11:38:05.322327,79.0,0
11:38:06.325355,80.0,0
11:38:07.324382,81.0,0
11:38:08.500483,81.0,0
11:38:09.499564,82.0,0
11:38:10.503618,82.0,0
11:38:11.510918,82.0,0
11:38:12.513282,82.0,0
11:38:13.520512,82.0,0
11:38:14.521292,82.0,0
11:38:15.521622,82.0,0
11:38:16.533988,83.0,0
11:38:17.536165,83.0,0
11:38:18.710494,83.0,0
11:38:19.705938,84.0,0
11:38:20.710171,84.0,0
11:38:21.909194,84.0,0
11:38:22.755084,85.0,0
11:38:23.916063,85.0,0
11:38:24.760437,85.0,0
11:38:25.923612,85.0,0
11:38:26.727910,85.0,0
11:38:27.728932,85.0,0
11:38:28.738646,85.0,0
11:38:29.736576,86.0,0
11:38:30.907479,86.0,0
11:38:31.910211,86.0,0
11:38:32.917293,85.0,0
11:38:33.916907,85.0,0
11:38:34.924830,85.0,0
11:38:35.924870,84.0,0
11:38:36.931558,84.0,0
11:38:37.933926,84.0,0
11:38:38.945662,84.0,0
11:38:39.941352,83.0,0
11:38:41.117474,83.0,0
11:38:42.116360,83.0,0
11:38:43.121491,83.0,0
11:38:44.122021,83.0,0
11:38:45.130293,82.0,0
11:38:46.130365,82.0,0
11:38:47.138534,81.0,0
11:38:48.147767,81.0,0
11:38:49.146554,80.0,0
11:38:50.146542,79.0,0
11:38:51.320363,79.0,0
11:38:52.320542,78.0,0
11:38:53.326480,77.0,0
11:38:54.334022,76.0,0
11:38:55.334455,75.0,0
11:38:56.336129,74.0,0
11:38:57.347244,73.0,0
11:38:58.346468,73.0,0
11:38:59.353313,72.0,0
11:39:00.354443,72.0,0
11:39:01.524234,71.0,0
11:39:02.523405,70.0,0
11:39:03.530940,69.0,0
11:39:04.532361,69.0,0
11:39:05.576077,68.0,0
11:39:06.747080,68.0,0
11:39:07.591452,67.0,0
11:39:08.747582,66.0,0
11:39:09.549114,65.0,0
11:39:10.552232,64.0,0
