timestamp,hr,fixed
10:00:11.366866,75.0,0
10:00:12.367036,75.0,0
10:00:13.374260,75.0,0
10:00:14.377049,75.0,0
10:00:15.380919,75.0,0
10:00:16.382725,75.0,0
10:00:17.385040,75.0,0
10:00:18.554171,75.0,0
10:00:19.553120,75.0,0
10:00:20.560212,75.0,0
10:00:21.561031,75.0,0
10:00:22.568857,75.0,0
10:00:23.567438,75.0,0
10:00:24.575292,75.0,0
10:00:25.574905,75.0,0
10:00:26.583641,75.0,0
10:00:27.585944,75.0,0
10:00:28.753892,75.0,0
10:00:29.754366,75.0,0
10:00:30.761238,75.0,0
10:00:31.762281,75.0,0
10:00:32.767579,76.0,0
10:00:33.768727,77.0,0
10:00:34.584349,81.0,0
10:00:35.777299,83.0,0
10:00:36.784107,83.0,0
10:00:37.781942,82.0,0
10:00:38.956303,82.0,0
10:00:39.954704,82.0,0
10:00:40.962483,82.0,0
10:00:41.963244,82.0,0
10:00:42.967211,82.0,0
10:00:43.968079,82.0,0
10:00:44.977936,82.0,0
10:00:45.976694,82.0,0
10:00:46.982772,82.0,0
10:00:47.983495,82.0,0
10:00:49.157384,83.0,0
10:00:50.162431,83.0,0
10:00:51.161807,83.0,0
10:00:52.196691,84.0,0
10:00:53.367697,84.0,0
10:00:54.205730,85.0,0
10:00:55.374079,86.0,0
10:00:56.210510,86.0,0
10:00:57.381792,87.0,0
10:00:58.218280,88.0,0
10:00:59.391733,90.0,0
10:01:00.228105,91.0,0
10:01:01.397933,93.0,0
10:01:02.356479,94.0,0
10:01:03.361180,96.0,0
10:01:04.369494,98.0,0
10:01:05.367925,99.0,0
10:01:06.370814,101.0,0
10:01:07.378305,103.0,0
10:01:08.378208,105.0,0
10:01:09.389010,106.0,0
10:01:10.388526,107.0,0
10:01:11.556533,108.0,0
10:01:12.553248,107.0,0
10:01:13.568066,107.0,0
10:01:14.562117,108.0,0
10:01:15.571034,108.0,0
10:01:16.568338,107.0,0
10:01:17.577903,107.0,0
10:01:18.577333,107.0,0
10:01:19.584890,106.0,0
10:01:20.585704,106.0,0
10:01:21.753415,106.0,0
10:01:22.754205,106.0,0
10:01:23.761755,106.0,0
10:01:24.763187,105.0,0
10:01:25.770397,105.0,0
10:01:26.770114,105.0,0
10:01:27.778477,104.0,0
10:01:28.776884,104.0,0
10:01:29.785143,103.0,0
10:01:30.785872,103.0,0
10:01:31.955208,103.0,0
10:01:32.953670,103.0,0
10:01:33.962920,102.0,0
10:01:34.962690,102.0,0
10:01:35.968599,102.0,0
10:01:36.969608,101.0,0
10:01:37.975789,101.0,0
10:01:38.977488,101.0,0
10:01:39.985711,101.0,0
10:01:40.987474,100.0,0
10:01:42.154905,100.0,0
10:01:43.154599,100.0,0
10:01:44.165992,100.0,0
10:01:45.163071,99.0,0
10:01:46.170926,99.0,0
10:01:47.169622,98.0,0
10:01:48.176556,97.0,0
10:01:49.178334,97.0,0
10:01:50.186915,96.0,0
10:01:51.382910,95.0,0
10:01:52.226657,95.0,0
10:01:53.227807,94.0,0
10:01:54.397010,93.0,0
10:01:55.559898,92.0,0
10:01:56.404873,91.0,0
10:01:57.569625,90.0,0
10:01:58.414410,88.0,0
10:01:59.575546,86.0,0
10:02:00.421373,83.0,0
10:02:01.584796,80.0,0
10:02:02.387571,78.0,0
10:02:03.385035,75.0,0
10:02:04.555427,72.0,0
10:02:05.554193,69.0,0
10:02:06.565306,67.0,0
10:02:07.562670,65.0,0
10:02:08.569592,64.0,0
10:02:09.570624,63.0,0
10:02:10.575494,62.0,0
10:02:11.577309,61.0,0
10:02:12.584214,59.0,0
10:02:13.584651,59.0,0
10:02:14.757627,59.0,0
10:02:15.757705,59.0,0
10:02:16.763116,58.0,0
10:02:17.771619,57.0,0
10:02:18.772037,57.0,0
10:02:19.772161,57.0,0
10:02:20.779266,56.0,0
10:02:21.776849,56.0,0
10:02:22.787289,56.0,0
10:02:23.787465,55.0,0
10:02:24.955894,55.0,0
10:02:25.954412,54.0,0
10:02:26.961717,53.0,0
10:02:27.963145,54.0,0
10:02:28.973409,54.0,0
10:02:29.970973,54.0,0
10:02:30.979129,54.0,0
10:02:31.979439,54.0,0
10:02:32.986507,54.0,0
10:02:33.985322,53.0,0
10:02:35.158494,53.0,0
10:02:36.156429,52.0,0
10:02:37.164493,52.0,0
10:02:38.164155,52.0,0
10:02:39.176272,52.0,0
10:02:40.173425,52.0,0
10:02:41.178991,51.0,0
10:02:42.179312,51.0,0
10:02:43.185923,51.0,0
10:02:44.188391,51.0,0
10:02:45.356129,50.0,0
10:02:46.355585,50.0,0
10:02:47.368610,50.0,0
10:02:48.364663,50.0,0
10:02:49.371233,50.0,0
10:02:50.371337,50.0,0
10:02:51.380110,50.0,0
10:02:52.379725,50.0,0
10:02:53.386823,50.0,0
10:02:54.422617,50.0,0
10:02:55.592431,50.0,0
10:02:56.434749,50.0,0
10:02:57.599070,50.0,0
10:02:58.763452,49.0,0
10:02:59.605238,49.0,0
10:03:00.771231,49.0,0
10:03:01.618624,50.0,0
10:03:02.776360,51.0,0
10:03:03.622340,52.0,0
10:03:04.580715,52.0,0
10:03:05.589366,52.0,0
10:03:06.588879,51.0,0
10:03:07.756778,51.0,0
10:03:08.759939,51.0,0
10:03:09.767463,51.0,0
10:03:10.765891,51.0,0
10:03:11.773381,51.0,0
10:03:12.771394,51.0,0
10:03:13.780959,51.0,0
10:03:14.788710,51.0,0
10:03:15.787492,51.0,0
10:03:16.786827,51.0,0
10:03:17.956439,50.0,0
10:03:18.959767,50.0,0
10:03:19.965397,49.0,0
10:03:20.968472,49.0,0
10:03:21.972297,49.0,0
10:03:22.972724,48.0,0
10:03:23.980422,48.0,0
10:03:24.982036,48.0,0
10:03:25.987609,48.0,0
10:03:26.987766,48.0,0
10:03:28.159214,49.0,0
10:03:29.159148,49.0,0
10:03:30.165022,50.0,0
10:03:31.169313,50.0,0
10:03:32.174398,51.0,0
10:03:33.174379,52.0,0
10:03:34.182332,52.0,0
10:03:35.179914,53.0,0
10:03:36.188003,53.0,0
10:03:37.189979,54.0,0
10:03:38.359907,54.0,0
10:03:39.359202,54.0,0
10:03:40.364665,54.0,0
10:03:41.367411,54.0,0
10:03:42.376220,54.0,0
10:03:43.374003,54.0,0
10:03:44.382251,55.0,0
10:03:45.380768,55.0,0
10:03:46.390732,55.0,0
10:03:47.391450,55.0,0
10:03:48.560672,55.0,0
10:03:49.558054,55.0,0
10:03:50.569365,55.0,0
10:03:51.767451,55.0,0
10:03:52.609677,55.0,0
10:03:53.779940,55.0,0
10:03:54.619643,56.0,0
10:03:55.785101,55.0,0
10:03:56.624444,55.0,0
10:03:57.788325,56.0,0
10:03:58.634149,56.0,0
10:03:59.799752,56.0,0
10:04:00.760626,56.0,0
10:04:01.761538,56.0,0
10:04:02.769050,57.0,0
10:04:03.767522,57.0,0
10:04:04.774714,57.0,0
10:04:05.776100,58.0,0
10:04:06.784260,58.0,0
10:04:07.783515,59.0,0
10:04:08.790586,59.0,0
10:04:09.791545,59.0,0
10:04:10.965140,59.0,0
10:04:11.961800,59.0,0
10:04:12.967913,60.0,0
10:04:13.967772,59.0,0
10:04:14.977818,58.0,0
10:04:15.977142,60.0,0
10:04:16.984226,59.0,0
10:04:17.984417,59.0,0
10:04:18.990589,60.0,0
10:04:19.992775,61.0,0
10:04:21.161488,62.0,0
10:04:22.161154,63.0,0
10:04:23.169321,64.0,0
10:04:24.169509,64.0,0
10:04:25.175682,65.0,0
10:04:26.176869,66.0,0
10:04:27.186033,67.0,0
10:04:28.184228,68.0,0
10:04:29.193392,68.0,0
10:04:30.193582,69.0,0
10:04:31.364292,69.0,0
10:04:32.362488,70.0,0
10:04:33.371653,70.0,0
10:04:34.370856,70.0,0
10:04:35.377016,71.0,0
10:04:36.378204,71.0,0
10:04:37.386369,71.0,0
10:04:38.385562,71.0,0
10:04:39.393728,72.0,0
10:04:40.393917,74.0,0
10:04:41.563630,76.0,0
10:04:42.563820,76.0,0
10:04:43.769432,76.0,0
10:04:44.606081,77.0,0
10:04:45.615246,77.0,0
